                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.167,                 3.8927,                 1.2681,                 0.0031,                0.55051,                0.02973,                0.01399,                0.78636,                 3.7385,                 1.1043,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 1.2383,                 3.7933,                 1.3609,                0.00324,                0.57071,                0.06566,                0.02458,                0.72148,                 3.7196,                 1.0729,             4.9515e-05,             4.9515e-05,             4.9515e-05
                      3,                 1.0723,                 3.7086,                 1.3086,                0.00332,                0.58182,                0.09492,                 0.0518,                0.66007,                  3.665,                 1.0351,               8.17e-05,               8.17e-05,               8.17e-05
                      4,                 1.0132,                 3.6678,                 1.1954,                0.00368,                0.64444,                0.15885,                0.10429,                0.60761,                 3.6261,                 1.0265,             0.00011322,             0.00011322,             0.00011322
                      5,                 0.8968,                  3.241,                 1.2407,                0.00374,                 0.6596,                 0.2387,                 0.1675,                0.62169,                 3.5933,                 1.0097,             0.00014409,             0.00014409,             0.00014409
                      6,                0.88911,                 3.1633,                 1.1434,                0.00409,                0.72424,                0.26086,                0.18292,                0.61867,                 3.5295,                0.98524,             0.00017429,             0.00017429,             0.00017429
                      7,                 1.0165,                 2.8424,                 1.2451,                0.00425,                0.74949,                0.27003,                0.19224,                0.64404,                 3.4706,                0.99183,             0.00020384,             0.00020384,             0.00020384
                      8,                0.96084,                 2.5389,                 1.1824,                0.00444,                0.78081,                0.30035,                0.21547,                0.67511,                 3.4106,                 1.0114,             0.00023272,             0.00023272,             0.00023272
                      9,                0.78488,                 2.1746,                 1.0727,                0.00447,                0.77879,                 0.3307,                0.23517,                0.68983,                 3.3836,                 1.0091,             0.00026095,             0.00026095,             0.00026095
                     10,                0.82951,                 2.0961,                  1.089,                0.00465,                 0.8101,                 0.3393,                0.24539,                0.68225,                 3.3326,                  1.013,             0.00028851,             0.00028851,             0.00028851
                     11,                0.80249,                 2.0065,                 1.0138,                0.00488,                0.85253,                0.37288,                0.26833,                0.69438,                 3.3152,                 1.0214,             0.00031541,             0.00031541,             0.00031541
                     12,                0.78147,                 1.9907,                 1.0139,                 0.0049,                0.85253,                0.39057,                0.28816,                0.69643,                 3.3297,                 1.0193,             0.00034166,             0.00034166,             0.00034166
                     13,                0.76324,                 1.7492,                0.97611,                 0.0048,                 0.8303,                0.39788,                0.30782,                0.70421,                 3.3299,                 1.0209,             0.00036724,             0.00036724,             0.00036724
                     14,                0.93018,                 2.1251,                   1.12,                0.00465,                0.79697,                0.40868,                0.31986,                0.74303,                 3.3413,                 1.0353,             0.00039216,             0.00039216,             0.00039216
                     15,                0.91013,                 2.0686,                 1.2011,                0.00439,                0.70101,                0.41307,                0.31539,                0.75011,                 3.3455,                 1.0418,             0.00041643,             0.00041643,             0.00041643
